2020060109,豚肉とキャベツと春雨のピリ辛炒め,600,定食,2020-06-01,2020-06-07,,週代わり定食9番
2020060115,鶏肉唐揚げの四川風炒め,750,定食,2020-06-01,2020-06-07,,週代わり定食15番
2020061509,豚肉とえのきと玉子炒め,600,定食,2020-06-15,2020-06-21,,週代わり定食9番
2020061515,豚バラ肉の中国みそ炒め,750,定食,2020-06-15,2020-06-21,,週代わり定食15番
2020062909,豚バラ肉と白菜の黒酢炒め,600,定食,2020-06-29,2020-07-05,,週代わり定食9番
2020062915,鶏肉とじゃがいものカ,750,定食,2020-06-29,2020-07-05,,週代わり定食15番
2020070609,豚肉とキャベツと干し豆腐のピリ辛炒め,600,定食,2020-07-06,2020-07-12,,週代わり定食9番
2020070615,豚レバーのマーラー炒め,750,定食,2020-07-06,2020-07-12,,週代わり定食15番
2020072009,豚肉としめじと春雨のピリ辛炒め,600,定食,2020-07-20,2020-07-26,,週代わり定食9番
2020072015,豚バラ肉と玉ねぎの台湾ソース炒め,750,定食,2020-07-20,2020-07-26,,週代わり定食15番
2020072709,豚肉と野菜のマーラー炒め,600,定食,2020-07-27,2020-08-02,,週代わり定食9番
2020072715,鶏肉とゴーヤのピリ辛炒め,750,定食,2020-07-27,2020-08-02,,週代わり定食15番
2020080409,豚肉と高菜と豆腐の旨煮,600,定食,2020-08-04,2020-08-10,,週代わり定食9番
2020080415,豚肉細切りの中国みそ炒め,750,定食,2020-08-04,2020-08-10,,週代わり定食15番
2020081709,豚肉ともやしと春雨のピリ辛炒め,600,定食,2020-08-17,2020-08-23,,週代わり定食9番
2020081715,牛肉とキャベツの旨煮,750,定食,2020-08-17,2020-08-23,,週代わり定食15番
2020083109,豚肉とえのきと玉子のピリ辛炒め,600,定食,2020-08-31,2020-09-06,,週代わり定食9番
2020083115,豚バラ肉とキャベツの黒コショウ炒め,750,定食,2020-08-31,2020-09-06,,週代わり定食15番
2020090709,豚肉とキャベツとちくわのピリ辛炒め,600,定食,2020-09-07,2020-09-13,,週代わり定食9番
2020090715,豚モッと玉ねぎのピリ辛炒め,750,定食,2020-09-07,2020-09-13,,週代わり定食15番
2020092109,豚肉と大根と春雨のピリ辛炒め,600,定食,2020-09-21,2020-09-27,,週代わり定食9番
2020092115,豚肉細切りの四川風炒,750,定食,2020-09-21,2020-09-27,,週代わり定食15番
2020100509,豚肉とキャベツと春雨のピリ辛炒め,600,定食,2020-10-05,2020-10-11,,週代わり定食9番
2020100515,白身魚の甘酢炒め,750,定食,2020-10-05,2020-10-11,,週代わり定食15番
2020101209,豚バラ肉とじゃがいものピリ辛炒め,600,定食,2020-10-12,2020-10-18,,週代わり定食9番
2020101215,豚肉細切りのマーラー,750,定食,2020-10-12,2020-10-18,,週代わり定食15番
2020101909,豚肉と白菜の黒酢炒め,600,定食,2020-10-19,2020-10-25,,週代わり定食9番
2020101915,鶏肉とじゃがいものカレー,750,定食,2020-10-19,2020-10-25,,週代わり定食15番
2020102609,海鮮ミックスと豆腐と玉子の旨煮,600,定食,2020-10-26,2020-11-01,,週代わり定食9番
2020102615,豚バラ肉と玉ねぎのクミン炒め,750,定食,2020-10-26,2020-11-01,,週代わり定食15番
2020110209,豚肉と干し豆腐とキャベツのピリ辛炒め,600,定食,2020-11-02,2020-11-08,,週代わり定食9番
2020110215,豚レバーの四川風炒め,750,定食,2020-11-02,2020-11-08,,週代わり定食15番
2020111609,豚肉としめじと玉子炒め,600,定食,2020-11-16,2020-11-22,,週代わり定食9番
2020111615,豚ガッと大根の旨煮(初メニュー),750,定食,2020-11-16,2020-11-22,,週代わり定食15番
2020112309,豚肉と豆腐と高菜の旨煮,600,定食,2020-11-23,2020-11-29,,週代わり定食9番
2020112315,豚バラ肉の中国みそ炒,750,定食,2020-11-23,2020-11-29,,週代わり定食15番
2020120709,豚肉と春雨とキャベツのピリ辛炒め,600,定食,2020-12-07,2020-12-13,,週代わり定食9番
2020120715,鶏肉の台湾バーベキューソース炒め,750,定食,2020-12-07,2020-12-13,,週代わり定食15番
2020121409,豚バラ肉と白菜の黒酢炒め,600,定食,2020-12-14,2020-12-20,,週代わり定食9番
2020121415,豚肉細切りのローカンマ炒め,750,定食,2020-12-14,2020-12-20,,週代わり定食15番
2020122109,干し海老と豆腐と玉子の旨煮,600,定食,2020-12-21,2020-12-27,,週代わり定食9番
2020122115,豚バラ肉とキャベツの黒胡椒炒め,750,定食,2020-12-21,2020-12-27,,週代わり定食15番
2021010409,豚肉と春雨ともやしのピリ辛炒め,600,定食,2021-01-04,2021-01-10,,週代わり定食9番
2021010415,鶏肉と玉ねぎのクミン炒め,750,定食,2021-01-04,2021-01-10,,週代わり定食15番
2021011109,豚バラ肉とじゃがいものピリ辛炒め,600,定食,2021-01-11,2021-01-17,,週代わり定食9番
2021011115,豚肉細切りの中国みそ炒め,750,定食,2021-01-11,2021-01-17,,週代わり定食15番
2021012509,豚肉と大根と春雨のピリ辛炒め,600,定食,2021-01-25,2021-01-31,,週代わり定食9番
2021012515,鶏肉唐揚げとかぼちゃの甘酢炒め,750,定食,2021-01-25,2021-01-31,,週代わり定食15番
2021020109,豚肉とキャベッとしめじのピリ辛炒め,600,定食,2021-02-01,2021-02-07,,週代わり定食9番
2021020115,豚モツと玉ねぎのピリ辛炒め,750,定食,2021-02-01,2021-02-07,,週代わり定食15番
2021020809,海老と豆腐の旨煮,600,定食,2021-02-08,2021-02-14,,週代わり定食9番
2021020815,鶏肉とローカンマ炒め,750,定食,2021-02-08,2021-02-14,,週代わり定食15番
